Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: No compatibility mode selected!


Circuit: alu reference characterization

Doing analysis at TEMP = -20.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
xalu.xout6.n0                             1.98
xalu.xout6.x0.n                              0
xalu.xout6.n1                             1.98
xalu.xout6.x1.n                              0
y6                                 3.10015e-09
xalu.xout6.x2.n                    1.55008e-09
xalu.xbsub7.n0                            1.98
b7                                           0
xalu.xbsub7.x0.n                             0
xalu.xbsub7.n1                            1.98
xalu.xbsub7.x1.n                             0
xalu.xbsub7.n2                            1.98
xalu.xbsub7.x2.n                             0
xalu.bs7                           3.10015e-09
xalu.xbsub7.x3.n                   1.55008e-09
xalu.xfa7.x0.n0                           1.98
xalu.xfa7.x0.x0.n                            0
xalu.xfa7.x0.n1                           1.98
xalu.xfa7.x0.x1.n                            0
xalu.xfa7.x0.n2                           1.98
xalu.xfa7.x0.x2.n                            0
xalu.xfa7.p                        3.10015e-09
xalu.xfa7.x0.x3.n                  1.55008e-09
xalu.xfa7.x1.n0                           1.98
xalu.xfa7.x1.x0.n                            0
xalu.xfa7.x1.n1                           1.98
xalu.xfa7.x1.x1.n                            0
xalu.xfa7.x1.n2                           1.98
xalu.xfa7.x1.x2.n                            0
xalu.s7                            3.10015e-09
xalu.xfa7.x1.x3.n                  1.55008e-09
xalu.xfa7.x2.n                            1.98
xalu.xfa7.x2.xn.n                            0
xalu.xfa7.g                        1.55008e-09
xalu.xfa7.x3.n                            1.98
xalu.xfa7.x3.xn.n                            0
xalu.xfa7.h                        1.55008e-09
xalu.xfa7.x4.xn.n                         1.98
xalu.xfa7.x4.n                            1.98
xalu.c8                            1.55008e-09
xalu.xand7.n                              1.98
xalu.xand7.xn.n                              0
xalu.and7                          1.55008e-09
xalu.xor7.xn.n                            1.98
xalu.xor7.n                               1.98
xalu.or7                           1.55008e-09
xalu.xxor7.n0                             1.98
xalu.xxor7.x0.n                              0
xalu.xxor7.n1                             1.98
xalu.xxor7.x1.n                              0
xalu.xxor7.n2                             1.98
xalu.xxor7.x2.n                              0
xalu.xor7                          3.10015e-09
xalu.xxor7.x3.n                    1.55008e-09
xalu.not7                                 1.98
xalu.xlogic7.sn                           1.98
xalu.xlogic7.n0                           1.98
xalu.xlogic7.x0.n                            0
xalu.xlogic7.n1                           1.98
xalu.xlogic7.x1.n                            0
xalu.l7                            3.10015e-09
xalu.xlogic7.x2.n                  1.55008e-09
xalu.xunary7.sn                           1.98
xalu.xunary7.n0                           1.98
xalu.xunary7.x0.n                            0
xalu.xunary7.n1                           1.98
xalu.xunary7.x1.n                      1.48404
xalu.u7                            3.10015e-09
xalu.xunary7.x2.n                  1.55008e-09
xalu.xshift7.sn                           1.98
xalu.xshift7.n0                           1.98
xalu.xshift7.x0.n                            0
xalu.xshift7.n1                           1.98
xalu.xshift7.x1.n                            0
xalu.h7                            3.10015e-09
xalu.xshift7.x2.n                  1.55008e-09
xalu.xlo7.sn                              1.98
xalu.xlo7.n0                              1.98
xalu.xlo7.x0.n                               0
xalu.xlo7.n1                              1.98
xalu.xlo7.x1.n                               0
xalu.lo7                           3.10015e-09
xalu.xlo7.x2.n                     1.55008e-09
xalu.xhi7.sn                              1.98
xalu.xhi7.n0                              1.98
xalu.xhi7.x0.n                               0
xalu.xhi7.n1                              1.98
xalu.xhi7.x1.n                               0
xalu.hi7                           3.10015e-09
xalu.xhi7.x2.n                     1.55008e-09
xalu.xout7.sn                             1.98
xalu.xout7.n0                             1.98
xalu.xout7.x0.n                              0
xalu.xout7.n1                             1.98
