Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: No compatibility mode selected!


Circuit: alu reference characterization

Doing analysis at TEMP = 25.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
xalu.xout5.sn                              1.8
xalu.xout5.n0                      3.98205e-09
xalu.xout5.x0.n                    1.99102e-09
xalu.xout5.n1                              1.8
xalu.xout5.x1.n                        1.34796
y5                                         1.8
xalu.xout5.x2.n                              0
xalu.xbsub6.n0                             1.8
b6                                           0
xalu.xbsub6.x0.n                             0
xalu.xbsub6.n1                             1.8
xalu.xbsub6.x1.n                             0
xalu.xbsub6.n2                             1.8
xalu.xbsub6.x2.n                             0
xalu.bs6                           3.98205e-09
xalu.xbsub6.x3.n                   1.99102e-09
xalu.xfa6.x0.n0                            1.8
xalu.xfa6.x0.x0.n                      1.34796
xalu.xfa6.x0.n1                    3.98205e-09
xalu.xfa6.x0.x1.n                  1.99102e-09
xalu.xfa6.x0.n2                            1.8
xalu.xfa6.x0.x2.n                            0
xalu.xfa6.p                                1.8
xalu.xfa6.x0.x3.n                            0
xalu.xfa6.x1.n0                            1.8
xalu.xfa6.x1.x0.n                      1.34796
xalu.xfa6.x1.n1                    3.98205e-09
xalu.xfa6.x1.x1.n                  1.99102e-09
xalu.xfa6.x1.n2                            1.8
xalu.xfa6.x1.x2.n                            0
xalu.s6                                    1.8
xalu.xfa6.x1.x3.n                            0
xalu.xfa6.x2.n                             1.8
xalu.xfa6.x2.xn.n                      1.34796
xalu.xfa6.g                        1.99102e-09
xalu.xfa6.x3.n                             1.8
xalu.xfa6.x3.xn.n                      1.34796
xalu.xfa6.h                        1.99102e-09
xalu.xfa6.x4.xn.n                          1.8
xalu.xfa6.x4.n                             1.8
xalu.c7                            1.99102e-09
xalu.xand6.n                               1.8
xalu.xand6.xn.n                        1.34796
xalu.and6                          1.99102e-09
xalu.xor6.xn.n                         0.45257
xalu.xor6.n                        4.97593e-09
xalu.or6                                   1.8
xalu.xxor6.n0                              1.8
xalu.xxor6.x0.n                        1.34796
xalu.xxor6.n1                      3.98205e-09
xalu.xxor6.x1.n                    1.99102e-09
xalu.xxor6.n2                              1.8
xalu.xxor6.x2.n                              0
xalu.xor6                                  1.8
xalu.xxor6.x3.n                              0
xalu.not6                          1.99102e-09
xalu.xlogic6.sn                            1.8
xalu.xlogic6.n0                            1.8
xalu.xlogic6.x0.n                            0
xalu.xlogic6.n1                            1.8
xalu.xlogic6.x1.n                      1.34796
xalu.l6                            3.98205e-09
xalu.xlogic6.x2.n                  1.99102e-09
xalu.xunary6.sn                            1.8
xalu.xunary6.n0                    3.98205e-09
xalu.xunary6.x0.n                  1.99102e-09
xalu.xunary6.n1                            1.8
xalu.xunary6.x1.n                            0
xalu.u6                                    1.8
xalu.xunary6.x2.n                            0
xalu.xshift6.sn                            1.8
xalu.xshift6.n0                    3.98205e-09
xalu.xshift6.x0.n                  1.99102e-09
xalu.xshift6.n1                            1.8
a7                                         1.8
xalu.xshift6.x1.n                      1.34796
xalu.h6                                    1.8
xalu.xshift6.x2.n                            0
xalu.xlo6.sn                               1.8
xalu.xlo6.n0                       3.98205e-09
xalu.xlo6.x0.n                     1.99102e-09
xalu.xlo6.n1                               1.8
xalu.xlo6.x1.n                               0
xalu.lo6                                   1.8
xalu.xlo6.x2.n                               0
xalu.xhi6.sn                               1.8
xalu.xhi6.n0                       3.98205e-09
xalu.xhi6.x0.n                     1.99102e-09
xalu.xhi6.n1                               1.8
xalu.xhi6.x1.n                         1.34796
xalu.hi6                                   1.8
xalu.xhi6.x2.n                               0
xalu.xout6.sn                              1.8
xalu.xout6.n0                      3.98205e-09
xalu.xout6.x0.n                    1.99102e-09
xalu.xout6.n1                              1.8
xalu.xout6.x1.n                        1.34796
y6                                         1.8
xalu.xout6.x2.n                              0
xalu.xbsub7.n0                             1.8
b7                                           0
xalu.xbsub7.x0.n                             0
xalu.xbsub7.n1                             1.8
xalu.xbsub7.x1.n                             0
xalu.xbsub7.n2                             1.8
xalu.xbsub7.x2.n                             0
xalu.bs7                           3.98205e-09
xalu.xbsub7.x3.n                   1.99102e-09
xalu.xfa7.x0.n0                            1.8
xalu.xfa7.x0.x0.n                      1.34796
xalu.xfa7.x0.n1                    3.98205e-09
xalu.xfa7.x0.x1.n                  1.99102e-09
xalu.xfa7.x0.n2                            1.8
xalu.xfa7.x0.x2.n                            0
xalu.xfa7.p                                1.8
xalu.xfa7.x0.x3.n                            0
xalu.xfa7.x1.n0                            1.8
xalu.xfa7.x1.x0.n                      1.34796
xalu.xfa7.x1.n1                    3.98205e-09
xalu.xfa7.x1.x1.n                  1.99102e-09
xalu.xfa7.x1.n2                            1.8
xalu.xfa7.x1.x2.n                            0
xalu.s7                                    1.8
xalu.xfa7.x1.x3.n                            0
xalu.xfa7.x2.n                             1.8
xalu.xfa7.x2.xn.n                      1.34796
xalu.xfa7.g                        1.99102e-09
xalu.xfa7.x3.n                             1.8
xalu.xfa7.x3.xn.n                      1.34796
xalu.xfa7.h                        1.99102e-09
xalu.xfa7.x4.xn.n                          1.8
xalu.xfa7.x4.n                             1.8
xalu.c8                            1.99102e-09
xalu.xand7.n                               1.8
xalu.xand7.xn.n                        1.34796
xalu.and7                          1.99102e-09
xalu.xor7.xn.n                         0.45257
xalu.xor7.n                        4.97593e-09
xalu.or7                                   1.8
xalu.xxor7.n0                              1.8
xalu.xxor7.x0.n                        1.34796
